numero_serial;modelo;mid;estado;nome;nome_fantasia;codigo;fornecedor;AQUISICAO
VF80013006;X990;1185696;NO CLIENTE;SV PAGAMENTOS LTDA;SV PAG;2850;SV PAGAMENTOS LTDA;ALUGADA
VF80014327;X990;1218942;NO CLIENTE;MATEUS CARNEIRO DOS SANTOS;MATEUS CARNEIRO DOS SANTOS;1784;EDVALDO - JES REPR & CONSULTORIA LTDA;ALUGADA
VF80013009;X990;;ESTOQUE;ESTOQUE;ESTOQUE;ESTOQUE;ESTOQUE;ALUGADA
VF80014333;X990;1050301;NO CLIENTE;ASSOCIACAO COMERCIAL, INDUSTRIAL, SERVICOS E AGRONEGOCIOS DE LUZIANIA - ACIL;ACIL;1351;WELSON WESLEY RODRIGUES DE MOURA;ALUGADA
VF80012734;X990;1228406;NO CLIENTE;WESLEY DUARTE RODRIGUES;KW SPORT LINE;2850;SV PAGAMENTOS LTDA;ALUGADA
VF80013089;X990;1218112;NO CLIENTE;GERSON MARQUES;GERSON MARQUES;1351;WELSON WESLEY RODRIGUES DE MOURA;ALUGADA
VF80012760;X990;;ESTOQUE;ESTOQUE;ESTOQUE;ESTOQUE;ESTOQUE;ALUGADA
VF80014744;X990;1144081;NO CLIENTE;CLINICA MEDICA SANTA CLARA LTDA;CLINICA SANTA CLARA;1351;WELSON WESLEY RODRIGUES DE MOURA;ALUGADA
VF80012756;X990;;ESTOQUE;ESTOQUE;ESTOQUE;ESTOQUE;ESTOQUE;ALUGADA
VF80012983;X990;1212381;NO CLIENTE;CHOPP XV LTDA;CHOPP XV LTDA;1708;ANA PAULA MIELLI;ALUGADA
VF80012744;X990;1217290;NO CLIENTE;FRANCISCO EDILEUDO DE SOUZA OLIVEIRA;RESTAURANTE;1784;EDVALDO - JES REPR & CONSULTORIA LTDA;ALUGADA
VF80012764;X990;1207176;NO CLIENTE;MEZANINI INDUSTRIA E COMERCIO DE ROUPAS LTDA ME;D VERA;1352;DELTAPAG SOLUCAO DE PAGAMENTOS LTDA;ALUGADA
VF80014745;X990;;ESTOQUE;ESTOQUE;ESTOQUE;ESTOQUE;ESTOQUE;ALUGADA
VF80014336;X990;1209413;NO CLIENTE;MARCIA REGINA DE FARIA MENEGHELLI;RANCHO POMPEIA;1708;ANA PAULA MIELLI;ALUGADA
VF80014760;X990;;ESTOQUE;ESTOQUE;ESTOQUE;ESTOQUE;ESTOQUE;ALUGADA
VF80014758;X990;1218413;NO CLIENTE;EPKS EDUCACAO E EVENTOS LTDA;EPKS EDUCACAO E EVENTOS;1708;ANA PAULA MIELLI;ALUGADA
VF80013429;X990;1223516;NO CLIENTE;ELIANE V DE CARVALHO - BAR E LANCHONETE;PARADA MIL;1351;WELSON WESLEY RODRIGUES DE MOURA;ALUGADA
VF80014743;X990;;ESTOQUE;ESTOQUE;ESTOQUE;ESTOQUE;ESTOQUE;ALUGADA
VF80013119;X990;;ESTOQUE;ESTOQUE;ESTOQUE;ESTOQUE;ESTOQUE;ALUGADA
VF80013127;X990;;ESTOQUE;ESTOQUE;ESTOQUE;ESTOQUE;ESTOQUE;ALUGADA
VF80013153;X990;;ESTOQUE;ESTOQUE;ESTOQUE;ESTOQUE;ESTOQUE;ALUGADA
VF80014329;X990;1219600;NO CLIENTE;SHOPPING DOS AMIGOS LTDA;SHOPPING DOS AMIGOS;1351;WELSON WESLEY RODRIGUES DE MOURA;ALUGADA
VF80013008;X990;314142;NO CLIENTE;EMPORIO DO CRISTO LTDA;EMPORIO DO CRISTO;1708;ANA PAULA MIELLI;ALUGADA
VF80013130;X990;1217647;NO CLIENTE;JOAO VICTOR CUNHA FERREIRA;JOAO VICTOR CUNHA FERREIRA;1784;EDVALDO - JES REPR & CONSULTORIA LTDA;ALUGADA
VF80013120;X990;1217673;NO CLIENTE;MARIA GUERRA DE LIMA;SERGIOS IMPORTADOS;1784;EDVALDO - JES REPR & CONSULTORIA LTDA;ALUGADA
VF80014489;X990;;ESTOQUE;ESTOQUE;ESTOQUE;ESTOQUE;ESTOQUE;ALUGADA
VF80013430;X990;303004;NO CLIENTE;ALIBA IMPORT LTDA;ALIBA IMPORT LTDA;1349;VAREJO CONECTA;ALUGADA
VF80012753;X990;1217656;NO CLIENTE;MYLENA DOS SANTOS LIMA LTDA;MYLENA DOS SANTOS LIMA LTDA;1784;EDVALDO - JES REPR & CONSULTORIA LTDA;ALUGADA
VF80013496;X990;1144081;NO CLIENTE;CLINICA MEDICA SANTA CLARA LTDA;CLINICA SANTA CLARA;1351;WELSON WESLEY RODRIGUES DE MOURA;ALUGADA
VF80014323;X990;1223516;NO CLIENTE;ELIANE V DE CARVALHO - BAR E LANCHONETE;PARADA MIL;1351;WELSON WESLEY RODRIGUES DE MOURA;ALUGADA
VF80014742;X990;303396;NO CLIENTE;JESSICA REIS RESENDE DOS SANTOS;JESSICA REIS RESENDE;1351;WELSON WESLEY RODRIGUES DE MOURA;ALUGADA
VF80012998;X990;1218154;NO CLIENTE;CASA LAGO BAR E COZINHA LTDA;CASA LAGO BAR E COZINHA;1784;EDVALDO - JES REPR & CONSULTORIA LTDA;ALUGADA
VF80013398;X990;1223516;NO CLIENTE;ELIANE V DE CARVALHO - BAR E LANCHONETE;PARADA MIL;1351;WELSON WESLEY RODRIGUES DE MOURA;ALUGADA
VF80014328;X990;1223517;NO CLIENTE;EDILAINE PINTO BARCELOS LTDA;ACAI DO SERGIO;1351;WELSON WESLEY RODRIGUES DE MOURA;ALUGADA
VF80014750;X990;1224809;NO CLIENTE;ERLEY P. DA SILVA;SABOR DO ACAI;2990;ALLPIX SOLUCOES DE PAGAMENTOS LTDA;ALUGADA
VF80012740;X990;301505;NO CLIENTE;ALEXANDRE R. S. ROMA;RESTAURANTE ROMA;1351;WELSON WESLEY RODRIGUES DE MOURA;ALUGADA
VF80013440;X990;1218209;NO CLIENTE;MERCADO SAO MIGUEL LTDA;MERCADO SAO MIGUEL;1351;WELSON WESLEY RODRIGUES DE MOURA;ALUGADA
VF80014508;X990;;ESTOQUE;ESTOQUE;ESTOQUE;ESTOQUE;ESTOQUE;ALUGADA
VF80014503;X990;1185696;NO CLIENTE;SV PAGAMENTOS LTDA;SV PAG;2850;SV PAGAMENTOS LTDA;ALUGADA
VF80014373;X990;;ESTOQUE;ESTOQUE;ESTOQUE;ESTOQUE;ESTOQUE;ALUGADA
VF80013357;X990;;ESTOQUE;ESTOQUE;ESTOQUE;ESTOQUE;ESTOQUE;ALUGADA
VF80013397;X990;;ESTOQUE;ESTOQUE;ESTOQUE;ESTOQUE;ESTOQUE;ALUGADA
VF80013110;X990;1034961;NO CLIENTE;ISIDORE MARTIN PIRES;ISIDORE MARTIN PIRES;1351;WELSON WESLEY RODRIGUES DE MOURA;ALUGADA
VF80013442;X990;1218508;NO CLIENTE;PANIFICADORA & CONFEITARIA TRES IRMAOS LTDA;PANIFICADORA & CONFEITARIA TRES IRMAOS LTDA;1784;EDVALDO - JES REPR & CONSULTORIA LTDA;ALUGADA
VF80014388;X990;1218145;NO CLIENTE;WESLEY CARVALHO DE MELO;WESLEY CARVALHO DE MELO;1784;EDVALDO - JES REPR & CONSULTORIA LTDA;ALUGADA
VF80013383;X990;1061130;NO CLIENTE;ALQUIMET ALIMENTOS COMERCIO E SERVICOS LTDA;ALQUIMEAT;1352;DELTAPAG SOLUCAO DE PAGAMENTOS LTDA;ALUGADA
VF80013428;X990;1218964;NO CLIENTE;ADEMILSON CARDOSO MONTALVAO;MAKE 10;1351;WELSON WESLEY RODRIGUES DE MOURA;ALUGADA
VF80014262;X990;1210640;NO CLIENTE;BASS PAGO INSTITUICAO DE PAGAMENTO LTDA;BASS PAGO;1352;DELTAPAG SOLUCAO DE PAGAMENTOS LTDA;ALUGADA
VF80014488;X990;1219283;NO CLIENTE;EDINARDO MONTEIRO CACAU;EDINARDO MONTEIRO CACAU;1784;EDVALDO - JES REPR & CONSULTORIA LTDA;ALUGADA
VF80012985;X990;1219306;NO CLIENTE;DIEGO F. PEREIRA LTDA;PANIFICADORA FERREIRA;1784;EDVALDO - JES REPR & CONSULTORIA LTDA;ALUGADA
VF80014555;X990;1217650;NO CLIENTE;VINICIUS SIMAO ALVES;VINICIUS SIMAO ALVES;1784;EDVALDO - JES REPR & CONSULTORIA LTDA;ALUGADA
VF80014629;X990;1225964;NO CLIENTE;NORTE SUL COMERCIO DE ACO LTDA;NORTE SUL COMERCIO DE ACO;2980;SUPERAPP SERVICOS;ALUGADA
VF80014566;X990;;ESTOQUE;ESTOQUE;ESTOQUE;ESTOQUE;ESTOQUE;ALUGADA
VF80013184;X990;1218126;NO CLIENTE;SAMUEL CASTRO MARTINS;SAMUEL CASTRO MARTINS;1784;EDVALDO - JES REPR & CONSULTORIA LTDA;ALUGADA
VF80014753;X990;1217994;NO CLIENTE;FRANCISCO MARCELO NASCIMENTO DA SILVA;FRANCISCO MARCELO NASCIMENTO DA SILVA;1784;EDVALDO - JES REPR & CONSULTORIA LTDA;ALUGADA
VF80013410;X990;1219600;NO CLIENTE;SHOPPING DOS AMIGOS LTDA;SHOPPING DOS AMIGOS;1351;WELSON WESLEY RODRIGUES DE MOURA;ALUGADA
VF80014208;X990;303589;NO CLIENTE;LUZIANIA CLINICA ODONTOLOGICA LTDA;ORAL CLINICA;1351;WELSON WESLEY RODRIGUES DE MOURA;ALUGADA
VF80014215;X990;1218154;NO CLIENTE;CASA LAGO BAR E COZINHA LTDA;CASA LAGO BAR E COZINHA;1784;EDVALDO - JES REPR & CONSULTORIA LTDA;ALUGADA
VF80014210;X990;1210893;NO CLIENTE;ADEMILSON CARDOSO MONTALVAO;MAKE 10;1351;WELSON WESLEY RODRIGUES DE MOURA;ALUGADA
VF80012934;X990;1169203;NO CLIENTE;M S X BORDIN RESTAURANTE LTDA;QUIOSQUE DO GAUCHO II;1784;EDVALDO - JES REPR & CONSULTORIA LTDA;ALUGADA
VF80012935;X990;;ESTOQUE;ESTOQUE;ESTOQUE;ESTOQUE;ESTOQUE;ALUGADA
VF80013374;X990;;ESTOQUE;ESTOQUE;ESTOQUE;ESTOQUE;ESTOQUE;ALUGADA
VF80013414;X990;;ESTOQUE;ESTOQUE;ESTOQUE;ESTOQUE;ESTOQUE;ALUGADA
VF80013371;X990;1125750;NO CLIENTE;DS NETO COMERCIO DE UTILIDADES LTDA;TABALATO;1349;VAREJO CONECTA;ALUGADA
VF80013140;X990;;ESTOQUE;ESTOQUE;ESTOQUE;ESTOQUE;ESTOQUE;ALUGADA
VF80013452;X990;;ESTOQUE;ESTOQUE;ESTOQUE;ESTOQUE;ESTOQUE;ALUGADA
VF80012838;X990;;ESTOQUE;ESTOQUE;ESTOQUE;ESTOQUE;ESTOQUE;ALUGADA
VF80012893;X990;;ESTOQUE;ESTOQUE;ESTOQUE;ESTOQUE;ESTOQUE;ALUGADA
VF80013367;X990;;ESTOQUE;ESTOQUE;ESTOQUE;ESTOQUE;ESTOQUE;ALUGADA
VF80013388;X990;;ESTOQUE;ESTOQUE;ESTOQUE;ESTOQUE;ESTOQUE;ALUGADA
VF80013415;X990;;ESTOQUE;ESTOQUE;ESTOQUE;ESTOQUE;ESTOQUE;ALUGADA
VF80013399;X990;;ESTOQUE;ESTOQUE;ESTOQUE;ESTOQUE;ESTOQUE;ALUGADA
VF80013056;X990;;ESTOQUE;ESTOQUE;ESTOQUE;ESTOQUE;ESTOQUE;ALUGADA
VF80011588;X990;939192;NO CLIENTE;J G V MORAIS COMERCIO DE PIZZAS LTDA;PIZZA CESAR;1784;EDVALDO - JES REPR & CONSULTORIA LTDA;ALUGADA
VF80011475;X990;977774;NO CLIENTE;OTAKU SUSHI LTDA;OTAKU SUSHI LTDA;1351;WELSON WESLEY RODRIGUES DE MOURA;ALUGADA
VF80011570;X990;998757;NO CLIENTE;ADENILSON CARDOSO MONTALVAO;ADENILSON CARDOSO MONTALVAO;1351;WELSON WESLEY RODRIGUES DE MOURA;ALUGADA
VF80011469;X990;314488;NO CLIENTE;THAIS LOPES FORMAGIO;ESPACO THAIS LOPES FORMAGIO;1365;PEDRO LUCAS MAXIMO DA SILVA;ALUGADA
VF80011586;X990;1013757;NO CLIENTE;THE BEST PIZZA LP LTDA;THE BEST PIZZA LP;1351;WELSON WESLEY RODRIGUES DE MOURA;ALUGADA
VF80011520;X990;1199268;NO CLIENTE;INSTITUTO DE ESTETICA INTEGRADA VISAGE LTDA;INSTITUTO DE ESTETICA INTEGRADA VISAGE;1351;WELSON WESLEY RODRIGUES DE MOURA;ALUGADA
VF80011590;X990;1226457;NO CLIENTE;CLINICA ESTELA BUENO HARMONIZACAO FACIAL LTDA;DRA. ESTELA BUENO HARMONIZACAO FACIAL;1351;WELSON WESLEY RODRIGUES DE MOURA;ALUGADA
VF80011604;X990;1219563;NO CLIENTE;BOMBATTA CLUB BAR E RESTAURANTE LTDA;BOMBATTA CLUB;1708;ANA PAULA MIELLI;ALUGADA
VF80011614;X990;303957;NO CLIENTE;SAUDE ANIMAL PRODUTOS VETERINARIOS LTDA;SAUDE ANIMAL;1351;WELSON WESLEY RODRIGUES DE MOURA;ALUGADA
VF80011603;X990;910106;NO CLIENTE;JOSE LUIZ LIZA CARRILLO;CANTINHO DA ROCA;1352;DELTAPAG SOLUCAO DE PAGAMENTOS LTDA;ALUGADA
VF80011599;X990;1225592;NO CLIENTE;VITINHO DISTRIBUICAO LTDA;ATACAREJO DO VITINHO;1351;WELSON WESLEY RODRIGUES DE MOURA;ALUGADA
VF80011597;X990;950956;NO CLIENTE;CIRURGICA LOJAS DA SAUDE LTDA;CIRURGICA LOJAS DA SAUDE LTDA;1708;ANA PAULA MIELLI;ALUGADA
VF80011557;X990;;ESTOQUE;ESTOQUE;ESTOQUE;ESTOQUE;ESTOQUE;ALUGADA
VF80011559;X990;1175093;NO CLIENTE;DANILO MORAIS DE BRITO;PIZZARIA GOLIAS;1784;EDVALDO - JES REPR & CONSULTORIA LTDA;ALUGADA
VF80011821;X990;1011939;NO CLIENTE;VOLT ENERGIA SOLAR LTDA;VOLT ENERGIA SOLAR;1351;WELSON WESLEY RODRIGUES DE MOURA;ALUGADA
VF80011517;X990;;ESTOQUE;ESTOQUE;ESTOQUE;ESTOQUE;ESTOQUE;ALUGADA
VF80011567;X990;1054386;NO CLIENTE;LIKEBURGUER PRIME LTDA;LIKEBURGUER;1351;WELSON WESLEY RODRIGUES DE MOURA;ALUGADA
VF80011837;X990;;ESTOQUE;ESTOQUE;ESTOQUE;ESTOQUE;ESTOQUE;ALUGADA
VF80011827;X990;1210989;NO CLIENTE;NC COMERCIAL LTDA;NC COMERCIAL LTDA;1351;WELSON WESLEY RODRIGUES DE MOURA;ALUGADA
VF80011820;X990;301953;NO CLIENTE;THE BEST RT PIZZA LTDA;THE BEST PIZZA;1351;WELSON WESLEY RODRIGUES DE MOURA;ALUGADA
VF80011829;X990;939176;NO CLIENTE;GV MORAIS COMERCIO DE ALIMENTOS LTDA;PIZZA CESAR;1784;EDVALDO - JES REPR & CONSULTORIA LTDA;ALUGADA
VF80011824;X990;1231899;NO CLIENTE;WL FORNECEDORES DE ALIMENTOS LTDA;PALADAR BRASILIA;1784;EDVALDO - JES REPR & CONSULTORIA LTDA;ALUGADA
VF80011858;X990;1143493;NO CLIENTE;PAMONHARIA EL SHADDAY LTDA;PAMONHARIA EL SHADDAY;1351;WELSON WESLEY RODRIGUES DE MOURA;ALUGADA
VF80011569;X990;1143530;NO CLIENTE;PIZZARIA FOGACA & ATACAREJO MANDU LTDA;ADEGA RESERVA 92;1351;WELSON WESLEY RODRIGUES DE MOURA;ALUGADA
VF80011297;X990;1222120;NO CLIENTE;MODENA EMPREENDIMENTOS E SERVICOS LTDA;BG GLOBAL;1352;DELTAPAG SOLUCAO DE PAGAMENTOS LTDA;ALUGADA
VF80011296;X990;1136150;NO CLIENTE;RANCHO GRILL LTDA;RANCHO GRILL LTDA;1351;WELSON WESLEY RODRIGUES DE MOURA;ALUGADA
VF80011294;X990;300895;NO CLIENTE;AGROPET COMERCIO E AGROPECUARIA LTDA;AGROPET MEIRELES;2852;MEIRELES GROUP;ALUGADA
VF80011397;X990;1034900;NO CLIENTE;ARAUJO ALVES LTDA;ARAUJO ALVES LTDA;1351;WELSON WESLEY RODRIGUES DE MOURA;ALUGADA
VF80011394;X990;1198392;NO CLIENTE;IMPERIO DOS FRANGOS LTDA;IMPERIO DOS FRANGOS;1351;WELSON WESLEY RODRIGUES DE MOURA;ALUGADA
VF80011404;X990;1225894;NO CLIENTE;ACAITERIA ORIGINAL LTDA;ACAITERIA ORIGINAL;1351;WELSON WESLEY RODRIGUES DE MOURA;ALUGADA
VF80012536;X990;316198;NO CLIENTE;PEDRO PAULO PAVANI;PAVANI ALINHAMENTO E BALANCEAMENTO;1352;DELTAPAG SOLUCAO DE PAGAMENTOS LTDA;ALUGADA
VF80008536;X990;300990;NO CLIENTE;PALLADIUM LTDA;PALLADIUM SEMI JOIAS;1351;WELSON WESLEY RODRIGUES DE MOURA;ALUGADA
VF80009480;X990;1146047;NO CLIENTE;JOYCE PRISCILLA DE OLIVEIRA DOMINGUES;CASA DAS DIVAS;1365;PEDRO LUCAS MAXIMO DA SILVA;ALUGADA
VF80009615;X990;1007004;NO CLIENTE;GENESIO DA COSTA FREIRE-ME;SEGMAX SEGURANCA ELETRONICA;1351;WELSON WESLEY RODRIGUES DE MOURA;ALUGADA
VF80013329;X990;1223531;NO CLIENTE;ANNA KERLLIA OLIVEIRA BARROS;ANNA KERLLIA OLIVEIRA BARROS;1708;ANA PAULA MIELLI;ALUGADA
VF80014530;X990;314383;NO CLIENTE;THALITA BASTOS DE FREITAS E SILVA;ESTETICA THALITA BASTOS;1352;DELTAPAG SOLUCAO DE PAGAMENTOS LTDA;ALUGADA
VF80012802;X990;1054578;NO CLIENTE;WDSON DA SILVA MARTINS;WDSON DA SILVA MARTINS;1351;WELSON WESLEY RODRIGUES DE MOURA;ALUGADA
VF80050333;X990;1229845;NO CLIENTE;DOGSTER BURGER, PIZZA E CONGELADOS LTDA;DOGSTER BURGER, PIZZA E CONGELADOS;1351;WELSON WESLEY RODRIGUES DE MOURA;ALUGADA
VF80052244;X990;1198370;NO CLIENTE;DANIEL MARTINS DE ASSIS;GREEN HAIR DESIGNER;1351;WELSON WESLEY RODRIGUES DE MOURA;ALUGADA
VF80051315;X990;1161035;NO CLIENTE;NATALIA DA SILVA DE OLIVEIRA NAVES LTDA;NATALIA NAVES HAIR;1351;WELSON WESLEY RODRIGUES DE MOURA;ALUGADA
VF80050372;X990;303990;NO CLIENTE;ROSA E RODRIGUES LTDA;MG EMBALAGENS;1351;WELSON WESLEY RODRIGUES DE MOURA;ALUGADA
VF80051399;X990;1231899;NO CLIENTE;WL FORNECEDORES DE ALIMENTOS LTDA;PALADAR BRASILIA;1784;EDVALDO - JES REPR & CONSULTORIA LTDA;ALUGADA
VF80051870;X990;1229845;NO CLIENTE;DOGSTER BURGER, PIZZA E CONGELADOS LTDA;DOGSTER BURGER, PIZZA E CONGELADOS;1351;WELSON WESLEY RODRIGUES DE MOURA;ALUGADA
VF80052246;X990;1224753;NO CLIENTE;PASTELARIA ENGENHO LTDA;PASTELARIA ENGENHO;1351;WELSON WESLEY RODRIGUES DE MOURA;ALUGADA
VF80052252;X990;1196765;NO CLIENTE;NA VIBE CONVENIENCIA LTDA;NA VIBE;1879;JONATHAN SANTOS ANTHONIJSZ;ALUGADA
VF80052250;X990;321264;NO CLIENTE;META FORMA COMERCIO VAREJISTA SERVICO DE SAUDE LTDA;EMAGRECENTRO BRASILIA - AGUAS CLARAS;1350;GF CONSULTORIA EMPRESARIAL LTDA;ALUGADA
VF80052254;X990;;ESTOQUE;ESTOQUE;ESTOQUE;ESTOQUE;ESTOQUE;ALUGADA
VF80052247;X990;;ESTOQUE;ESTOQUE;ESTOQUE;ESTOQUE;ESTOQUE;ALUGADA
VF80052248;X990;300467;NO CLIENTE;ONLINE SOLUCOES EM TECNOLOGIA DA INFORMACAO LTDA;ONLINE SOLUCOES EM TECNOLOGIA DA INFORMACAO;1351;WELSON WESLEY RODRIGUES DE MOURA;ALUGADA
VF80012538;X990;947556;NO CLIENTE;JHSC CENTRO ODONTOLOGIA LTDA;JHSC CENTRO ODONTOLOGIA LTDA;1365;PEDRO LUCAS MAXIMO DA SILVA;ALUGADA
VF80012514;X990;303957;NO CLIENTE;SAUDE ANIMAL PRODUTOS VETERINARIOS LTDA;SAUDE ANIMAL;1351;WELSON WESLEY RODRIGUES DE MOURA;ALUGADA
VF80012519;X990;304925;NO CLIENTE;BEATRIZ PEIXOTO DE SOUZA;BIA PEIXOTO STORE;1365;PEDRO LUCAS MAXIMO DA SILVA;ALUGADA
VF80012532;X990;1222076;NO CLIENTE;GIORNO BENEDETTO COMERCIO DE ALIMENTOS E BEBIDAS LTDA;GIORNO BENEDETTO;2980;SUPERAPP SERVICOS;ALUGADA
VF80012528;X990;961953;NO CLIENTE;ELIANE RODRIGUES AREIAS DE LIMA;ELIANE;1351;WELSON WESLEY RODRIGUES DE MOURA;ALUGADA
VF80012389;X990;307588;NO CLIENTE;SERGIO HARADA;MINIMERCADO JAPONES;1365;PEDRO LUCAS MAXIMO DA SILVA;ALUGADA
VF80012048;X990;;ESTOQUE;ESTOQUE;ESTOQUE;ESTOQUE;ESTOQUE;ALUGADA
VF80012399;X990;1128399;NO CLIENTE;DENES PHARMA LTDA;PHARMA ECONOMICA;1351;WELSON WESLEY RODRIGUES DE MOURA;ALUGADA
VF80012408;X990;1204056;NO CLIENTE;SOCORRO FERREIRA DA SILVA;TERRA DO NUNCA BAR E PESQUE E PAGUE;1351;WELSON WESLEY RODRIGUES DE MOURA;ALUGADA
VF80012409;X990;308400;NO CLIENTE;BRAULIO BENEDITO DE FARIA;DUAS MARIAS;1365;PEDRO LUCAS MAXIMO DA SILVA;ALUGADA
VF80012503;X990;1227312;NO CLIENTE;CARLOS EDUARDO DOS REIS LTDA;INSPIRE-SE PAY;3024;INSPIRE-SE 360;ALUGADA
VF80012531;X990;961187;NO CLIENTE;CIEO - CLINICA INTEGRADA E ESPECIALIDADES ODONTOLOGICAS LTDA;ODONTOCOMPANY;1708;ANA PAULA MIELLI;ALUGADA
VF80012351;X990;1227206;NO CLIENTE;MARIA EDUARDA SOARES GOMES;PONTO MINEIRO 2;2932;GRUPO EXATAPAY;ALUGADA
VF80012008;X990;300423;NO CLIENTE;PANIFICADORA COSTA SILVA LTDA;PANIFICADORA SANTA CEIA;1351;WELSON WESLEY RODRIGUES DE MOURA;ALUGADA
VF80002615;X990;1198049;NO CLIENTE;OSVALDO BROLEZI;DELIVERY AS TRES MARIAS;1708;ANA PAULA MIELLI;ALUGADA
VF80002591;X990;923178;NO CLIENTE;FABIO JOSE CAVALINI;FABIO JOSE CAVALINI;1708;ANA PAULA MIELLI;ALUGADA
VF80002463;X990;314329;NO CLIENTE;BRIAMAR COMERCIO DE ALIMENTOS E BEBIDAS LTDA;BRIAMAR DISTRIBUIDORA DE FRIOS;1352;DELTAPAG SOLUCAO DE PAGAMENTOS LTDA;ALUGADA
VF80002562;X990;324924;NO CLIENTE;GONCALO VIEIRA DA SILVA;TOPO MOTOS;1351;WELSON WESLEY RODRIGUES DE MOURA;ALUGADA
VF80002443;X990;315832;NO CLIENTE;FLORESTA ATLETICO CLUBE;FLORESTA;1352;DELTAPAG SOLUCAO DE PAGAMENTOS LTDA;ALUGADA
VF80002522;X990;977774;NO CLIENTE;OTAKU SUSHI LTDA;OTAKU SUSHI LTDA;1351;WELSON WESLEY RODRIGUES DE MOURA;ALUGADA
VF80002503;X990;REPARO;REPARO;REPARO;REPARO;REPARO;REPARO;ALUGADA
VF80002571;X990;300895;NO CLIENTE;AGROPET COMERCIO E AGROPECUARIA LTDA;AGROPET MEIRELES;2852;MEIRELES GROUP;ALUGADA
VF80002557;X990;1229859;NO CLIENTE;GRAN MONUMENTAL RESTAURANTE E GASTROBAR LTDA;GRAN MONUMENTAL;1351;WELSON WESLEY RODRIGUES DE MOURA;ALUGADA
VF80002484;X990;1229845;NO CLIENTE;DOGSTER BURGER, PIZZA E CONGELADOS LTDA;DOGSTER BURGER, PIZZA E CONGELADOS;1351;WELSON WESLEY RODRIGUES DE MOURA;ALUGADA
VF80002442;X990;1223649;NO CLIENTE;FABIANA NISHIMOTO GOMES COSTA;FABIANA NISHIMOTO GOMES COSTA;1351;WELSON WESLEY RODRIGUES DE MOURA;ALUGADA
VF80002446;X990;316141;NO CLIENTE;MARCELA CARUSO;CLINICA VET MARCELA CARUSO;1708;ANA PAULA MIELLI;ALUGADA
VF80002554;X990;1225592;NO CLIENTE;VITINHO DISTRIBUICAO LTDA;ATACAREJO DO VITINHO;1351;WELSON WESLEY RODRIGUES DE MOURA;ALUGADA
VF80002553;X990;316427;NO CLIENTE;ADRIANA MELLO SOARES DE GODOI;MA LEVI MALHAS;1352;DELTAPAG SOLUCAO DE PAGAMENTOS LTDA;ALUGADA
VF80002414;X990;377588;NO CLIENTE;JONAS GONCALVES DA SILVA;AUTHENTIC COUNTRY;1708;ANA PAULA MIELLI;ALUGADA
VF80002404;X990;300599;NO CLIENTE;LED LUZIANIA CONCEITO E ILUMINACAO LTDA;LED LUZIANIA;1389;SMARTPAG;ALUGADA
VF80002465;X990;947556;NO CLIENTE;JHSC CENTRO ODONTOLOGIA LTDA;JHSC CENTRO ODONTOLOGIA LTDA;1365;PEDRO LUCAS MAXIMO DA SILVA;ALUGADA
VF80002371;X990;1207098;NO CLIENTE;SUPERAPP SERVICOS DE INFORMACOES CADASTRAIS LTDA;SUPERAPP;1352;DELTAPAG SOLUCAO DE PAGAMENTOS LTDA;ALUGADA
VF80002388;X990;308648;NO CLIENTE;KATIA DE OLIVEIRA SILVA;KATIA OLIVEIRA;1352;DELTAPAG SOLUCAO DE PAGAMENTOS LTDA;ALUGADA
VF80002427;X990;1146047;NO CLIENTE;JOYCE PRISCILLA DE OLIVEIRA DOMINGUES;CASA DAS DIVAS;1365;PEDRO LUCAS MAXIMO DA SILVA;ALUGADA
VF80002159;X990;301953;NO CLIENTE;THE BEST RT PIZZA LTDA;THE BEST PIZZA;1351;WELSON WESLEY RODRIGUES DE MOURA;ALUGADA
VF80002178;X990;1225293;NO CLIENTE;ODONTO SAUDE LTDA;ODONTO SAUDE;1350;GF CONSULTORIA EMPRESARIAL LTDA;ALUGADA
VF80002387;X990;939192;NO CLIENTE;J G V MORAIS COMERCIO DE PIZZAS LTDA;PIZZA CESAR;1784;EDVALDO - JES REPR & CONSULTORIA LTDA;ALUGADA
VF80012459;X990;1034836;NO CLIENTE;LUIZ FERNANDO CARNAVALI;LUIZ FERNANDO CARNAVALI;1351;WELSON WESLEY RODRIGUES DE MOURA;ALUGADA
VF80012481;X990;1219123;NO CLIENTE;GSA ODONTOLOGIA LTDA;GSA ODONTOLOGIA;1576;NETTROM COMERCIO DE EQUIPAMENTOS DE TELECOMUNICACAO LTDA;ALUGADA
VF80012393;X990;1199939;NO CLIENTE;AUGUSTA E RESPEITAVEL LOJA SIMBOLICA PUREZA 389;LOJA SIMBOLICA PUREZA 389;2932;GRUPO EXATAPAY;ALUGADA
VF80012398;X990;1230462;NO CLIENTE;THIAGO CURTI FERNANDES;TCF PRECO JUSTO;2980;SUPERAPP SERVICOS;ALUGADA
VF80012431;X990;;ESTOQUE;ESTOQUE;ESTOQUE;ESTOQUE;ESTOQUE;ALUGADA
VF80002642;X990;301953;NO CLIENTE;THE BEST RT PIZZA LTDA;THE BEST PIZZA;1351;WELSON WESLEY RODRIGUES DE MOURA;ALUGADA
VF80002672;X990;1198049;NO CLIENTE;OSVALDO BROLEZI;DELIVERY AS TRES MARIAS;1708;ANA PAULA MIELLI;ALUGADA
